;nome_tabela;nivel;vencimento
0;atual;1;13208.14
1;atual;2;14528.96
2;atual;3;14892.18
3;atual;4;15264.48
4;atual;5;15646.09
5;atual;6;16037.24
6;atual;7;17961.73
7;atual;8;18410.77
8;atual;9;18871.04
9;atual;10;19342.8
10;atual;11;19826.39
11;atual;12;21869.74
12;atual;13;22416.47
13;atual;14;22976.89
14;atual;15;23551.31
0;original;1;9000.0
1;original;2;10080.0
2;original;3;10684.8
3;original;4;11325.89
4;original;5;12005.44
5;original;6;12725.77
6;original;7;13998.34
7;original;8;14698.26
8;original;9;15433.17
9;original;10;16204.83
10;original;11;17015.08
11;original;12;18716.58
12;original;13;19558.83
13;original;14;20438.98
14;original;15;21358.73
0;amci;1;16840.38
1;amci;2;17682.41
2;amci;3;18036.04
3;amci;4;18396.78
4;amci;5;18764.71
5;amci;6;19139.99
6;amci;7;20097.0
7;amci;8;20498.94
8;amci;9;20908.92
9;amci;10;21327.1
10;amci;11;21753.64
11;amci;12;22841.33
12;amci;13;23183.95
13;amci;14;23531.72
14;amci;15;23884.67
0;original_atualizada_ipc;1;14127.99
1;original_atualizada_ipc;2;15823.35
2;original_atualizada_ipc;3;16772.75
3;original_atualizada_ipc;4;17779.12
4;original_atualizada_ipc;5;18845.86
5;original_atualizada_ipc;6;19976.62
6;original_atualizada_ipc;7;21974.27
7;original_atualizada_ipc;8;23072.98
8;original_atualizada_ipc;9;24226.63
9;original_atualizada_ipc;10;25437.96
10;original_atualizada_ipc;11;26709.87
11;original_atualizada_ipc;12;29380.85
12;original_atualizada_ipc;13;30702.99
13;original_atualizada_ipc;14;32084.63
14;original_atualizada_ipc;15;33528.43
0;original_atualizada_ipc_nunes;1;13208.14
1;original_atualizada_ipc_nunes;2;14528.96
2;original_atualizada_ipc_nunes;3;14892.18
3;original_atualizada_ipc_nunes;4;15264.48
4;original_atualizada_ipc_nunes;5;15646.09
5;original_atualizada_ipc_nunes;6;16401.16
6;original_atualizada_ipc_nunes;7;18041.26
7;original_atualizada_ipc_nunes;8;18943.33
8;original_atualizada_ipc_nunes;9;19890.49
9;original_atualizada_ipc_nunes;10;20885.02
10;original_atualizada_ipc_nunes;11;21929.28
11;original_atualizada_ipc_nunes;12;24122.2
12;original_atualizada_ipc_nunes;13;25207.7
13;original_atualizada_ipc_nunes;14;26342.05
14;original_atualizada_ipc_nunes;15;27527.44
